縣市	行政區	村里	圖號坐標	型式		
新北市	雙溪區	魚行里	C0732GE45	水泥桿		
新北市	雙溪區	魚行里	C0732GE05	水泥桿		
新北市	雙溪區	魚行里	C0732FE45	水泥桿		
新北市	雙溪區	魚行里	C0732FE05	水泥桿		
新北市	雙溪區	魚行里	C0733GA50	水泥桿		
新北市	雙溪區	魚行里	C0733GA24	水泥桿		
新北市	雙溪區	魚行里	C0733GA46	水泥桿		
新北市	雙溪區	魚行里	C0733GB00	水泥桿		
新北市	雙溪區	魚行里	C0733FA58	水泥桿		
新北市	雙溪區	魚行里	C0733FA39	水泥桿		
新北市	雙溪區	魚行里	C0733FB21	水泥桿		
新北市	雙溪區	魚行里	C0733EB73	水泥桿		
新北市	雙溪區	魚行里	C0834HE23	水泥桿		
新北市	雙溪區	魚行里	C0733EB67	水泥桿		
新北市	雙溪區	魚行里	C0733EC72	水泥桿		
新北市	雙溪區	魚行里	C0733EC44	水泥桿		
新北市	雙溪區	魚行里	C0733EC28	水泥桿		
新北市	雙溪區	魚行里	C0733ED32	水泥桿		
新北市	雙溪區	魚行里	C0834HE34	水泥桿		
新北市	雙溪區	魚行里	C0834HE41	水泥桿		
新北市	雙溪區	魚行里	C0834HD98	水泥桿		
新北市	雙溪區	魚行里	C0934AD35	水泥桿		
新北市	雙溪區	共和里	C0736AA82	木桿		
新北市	雙溪區	魚行里	C0937DA61	水泥桿		
新北市	雙溪區	魚行里	C0935BD24	水泥併桿		
新北市	雙溪區	魚行里	C0935AD70	水泥桿		
新北市	雙溪區	魚行里	C0935AC26	水泥併桿		
新北市	雙溪區	魚行里	C0935AD75	水泥桿		
新北市	雙溪區	魚行里	C0935AD25	水泥桿		
新北市	雙溪區	魚行里	C0835HD84	水泥桿		
新北市	雙溪區	魚行里	C0835HD40	水泥桿		
新北市	雙溪區	魚行里	C0835HC28	水泥桿		
新北市	雙溪區	魚行里	C0835GC76	水泥桿		
新北市	雙溪區	魚行里	C0835FE85	水泥桿		
新北市	雙溪區	魚行里	C0835FE35	水泥桿		
新北市	雙溪區	魚行里	C0835GC38	水泥桿		
新北市	雙溪區	魚行里	C0835GD44	水泥桿		
新北市	雙溪區	魚行里	C0835FD62	水泥桿		
新北市	雙溪區	魚行里	C0835FD78	水泥桿		
新北市	雙溪區	魚行里	C0835FD49	水泥桿		
新北市	雙溪區	魚行里	C0835FE42	水泥桿		
新北市	雙溪區	魚行里	C0835FE83	水泥桿		
新北市	雙溪區	魚行里	C0835GE14	水泥桿		
新北市	雙溪區	魚行里	C0835FE05	水泥桿		
新北市	雙溪區	魚行里	C0835EE48	水泥桿		
新北市	雙溪區	魚行里	C0835DE77	水泥桿		
新北市	雙溪區	魚行里	C0835DE47	H桿		
新北市	雙溪區	魚行里	C0937DA60	水泥併桿		
新北市	雙溪區	魚行里	C0836DA09	H桿		
新北市	雙溪區	魚行里	C0836CB55	水泥桿		
新北市	雙溪區	魚行里	C0836CB05	水泥桿		
新北市	雙溪區	魚行里	C0836BB54	水泥桿		
新北市	雙溪區	魚行里	C0836BB08	水泥桿		
新北市	雙溪區	魚行里	C0836AC63	水泥桿		
新北市	雙溪區	魚行里	C0736HC70	水泥桿		
新北市	雙溪區	魚行里	C0736HC12	水泥桿		
新北市	雙溪區	魚行里	C0736GC64	水泥併桿		
新北市	雙溪區	魚行里	C0736GA58	水泥併桿		
新北市	雙溪區	魚行里	C0936DE66	水泥桿		
新北市	雙溪區	共和里	C0736FA59	木桿		
新北市	雙溪區	共和里	C0736FA38	木桿		
新北市	雙溪區	共和里	C0736EA97	木桿		
新北市	雙溪區	共和里	C0736EA44	木桿		
新北市	雙溪區	共和里	C0736DA53	木桿		
新北市	雙溪區	共和里	C0736DA20	水泥桿		
新北市	雙溪區	共和里	C0735DE19	水泥桿		
新北市	雙溪區	共和里	C0736CA90	水泥桿		
新北市	雙溪區	共和里	C0735CE69	水泥桿		
新北市	雙溪區	共和里	C0736CA20	水泥桿		
新北市	雙溪區	共和里	C0735CE07	水泥桿		
新北市	雙溪區	共和里	C0735DE57	水泥桿		
新北市	雙溪區	共和里	C0735DE92	水泥桿		
新北市	雙溪區	共和里	C0735EE40	水泥桿		
新北市	雙溪區	魚行里	C0936DE16	水泥桿		
新北市	雙溪區	魚行里	C0936DE81	木桿		
新北市	雙溪區	共和里	C0735ED36	水泥桿		
新北市	雙溪區	共和里	C0735ED12	水泥桿		
新北市	雙溪區	共和里	C0735ED20	H桿		
新北市	雙溪區	共和里	C0735DB15	木併桿		
新北市	雙溪區	魚行里	C0735EB40	木桿		
新北市	雙溪區	魚行里	C0735FA27	木桿		
新北市	雙溪區	魚行里	C0735FA78	木桿		
新北市	雙溪區	魚行里	C0735FB72	水泥桿		
新北市	雙溪區	共和里	C0735CB33	木桿		
新北市	雙溪區	共和里	C0735BB92	木桿		
新北市	雙溪區	共和里	C0735BA20	木桿		
新北市	雙溪區	共和里	C0734AE75	木桿		
新北市	雙溪區	共和里	C0734AD69	木桿		
新北市	雙溪區	共和里	C0734AD86	水泥桿		
新北市	雙溪區	魚行里	C0936ED04	木併桿		
新北市	雙溪區	共和里	C0734BC06	木桿		
新北市	雙溪區	魚行里	C0734BC54	木桿		
新北市	雙溪區	魚行里	C0734BC84	木桿		
新北市	雙溪區	魚行里	C0734CB08	水泥桿		
新北市	雙溪區	魚行里	C0734CC23	水泥桿		
新北市	雙溪區	魚行里	C0734CC41	水泥桿		
新北市	雙溪區	魚行里	C0734CB67	水泥併桿		
新北市	雙溪區	魚行里	C0734CB89	水泥桿		
新北市	雙溪區	魚行里	C0734DB28	水泥併桿		
新北市	雙溪區	魚行里	C0734DB47	水泥桿		
新北市	雙溪區	魚行里	C0936DC81	木併桿		
新北市	雙溪區	魚行里	C0936DB78	水泥桿		
新北市	雙溪區	魚行里	C0936DB35	水泥桿		
新北市	雙溪區	魚行里	C0936DB52	水泥桿		
新北市	雙溪區	魚行里	C0936DA59	水泥桿		
新北市	雙溪區	魚行里	C0936DA26	水泥桿		
新北市	雙溪區	魚行里	C0936CA90	水泥桿		
新北市	雙溪區	魚行里	C0935CE76	水泥桿		
新北市	雙溪區	魚行里	C0935CE33	水泥桿		
新北市	雙溪區	魚行里	C0935CD09	水泥桿		
新北市	雙溪區	魚行里	C0935BD87	水泥桿		
新北市	雙溪區	魚行里	C0935BD92	水泥併桿		
新北市	貢寮區	吉林里	C1029EC25	水泥桿		
新北市	貢寮區	吉林里	C1029EC64	水泥桿		
新北市	貢寮區	吉林里	C1029EC23	水泥桿		
新北市	貢寮區	吉林里	C1029AB47	水泥桿		
新北市	貢寮區	吉林里	C1029AB18	水泥桿		
新北市	貢寮區	吉林里	C0929HB79	水泥桿		
新北市	貢寮區	吉林里	C0929HB39	水泥桿		
新北市	貢寮區	吉林里	C0929GB99	水泥桿		
新北市	貢寮區	吉林里	C0929GB47	水泥桿		
新北市	貢寮區	吉林里	C0929GB28	水泥桿		
