縣市	行政區	村里	圖號坐標	型式		
新北市	板橋區	九如里	B5936DB20	水泥桿		
新北市	板橋區	長壽里	B5935EC13	水泥桿		
新北市	板橋區	長壽里	B5935EC15	水泥桿		
新北市	板橋區	正泰里	B5935DC1350	水泥桿		
新北市	板橋區	九如里	B5935DD10	H桿		
新北市	板橋區	九如里	B5935DD23	水泥桿		
新北市	板橋區	九如里	B5935DD28	水泥桿		
新北市	板橋區	九如里	B5935DE22	水泥桿		
新北市	板橋區	居仁里	B5935FC0384	水泥桿		
新北市	板橋區	居仁里	B5935FC10	水泥桿		
新北市	板橋區	居仁里	B5935FB19	水泥桿		
新北市	板橋區	居仁里	B5935FB1701	水泥桿		
新北市	板橋區	居仁里	B5935FB14	水泥桿		
新北市	板橋區	居仁里	B5935FB2139	水泥桿		
新北市	板橋區	居仁里	B5935DC61	水泥桿		
新北市	板橋區	居仁里	B5935DC82	水泥桿		
新北市	板橋區	居仁里	B5935EC02	水泥桿		
新北市	板橋區	居仁里	B5935EC22	水泥桿		
新北市	板橋區	居仁里	B5935EC32	水泥桿		
新北市	板橋區	居仁里	B5935EC62	水泥桿		
新北市	板橋區	居仁里	B5935EC83	水泥桿		
新北市	板橋區	居仁里	B5935FC0364	水泥桿		
新北市	板橋區	居仁里	B5935DC41	水泥桿		
新北市	板橋區	居仁里	B5935DB5511	水泥桿		
新北市	板橋區	居仁里	B5935DB5532	水泥桿		
新北市	板橋區	居仁里	B5935DB7501	水泥桿		
新北市	板橋區	居仁里	B5935DB76	水泥桿		
新北市	板橋區	居仁里	B5935DB79	水泥桿		
新北市	板橋區	居仁里	B5935EB0901	水泥桿		
新北市	板橋區	居仁里	B5935EB29	水泥桿		
新北市	板橋區	居仁里	B5935EB49	水泥桿		
新北市	板橋區	居仁里	B5935EB59	水泥桿		
新北市	板橋區	居仁里	B5935DC7001	水泥桿		
新北市	板橋區	居仁里	B5935EB05	水泥桿		
新北市	板橋區	居仁里	B5935EB15	水泥桿		
新北市	板橋區	居仁里	B5935EB25	水泥桿		
新北市	板橋區	居仁里	B5935EB65	水泥桿		
新北市	板橋區	居仁里	B5935EB75	水泥桿		
新北市	板橋區	居仁里	B5935DB32	水泥桿		
新北市	板橋區	居仁里	B5935DB42	水泥桿		
新北市	板橋區	居仁里	B5935DB52	水泥桿		
新北市	板橋區	居仁里	B5935DB82	水泥桿		
新北市	板橋區	居仁里	B5935EB02	水泥桿		
新北市	板橋區	居仁里	B5935EB22	水泥桿		
新北市	板橋區	居仁里	B5935EB32	水泥桿		
新北市	板橋區	居仁里	B5935EB72	水泥桿		
新北市	板橋區	居仁里	B5935EB82	水泥桿		
新北市	板橋區	長壽里	B5935FE31	水泥桿		
新北市	板橋區	富貴里	B5936EA30	水泥桿		
新北市	板橋區	長壽里	B5935FE0199	水泥桿		
新北市	板橋區	富貴里	B5935EE86	水泥桿		
新北市	板橋區	長壽里	B5935EE85	水泥桿		
新北市	板橋區	長壽里	B5935EE65	水泥桿		
新北市	板橋區	富貴里	B5935EE57	水泥桿		
新北市	板橋區	正泰里	B5935CB92	水泥桿		
新北市	板橋區	正泰里	B5935CB82	水泥桿		
新北市	板橋區	正泰里	B5935CB52	水泥桿		
新北市	板橋區	正泰里	B5935CB22	水泥桿		
新北市	板橋區	正泰里	B5935CA98	水泥桿		
新北市	板橋區	正泰里	B5935CA88	水泥桿		
新北市	板橋區	正泰里	B5935CA59	水泥桿		
新北市	板橋區	正泰里	B5935CA19	水泥桿		
新北市	板橋區	正泰里	B5935CA95	水泥桿		
新北市	板橋區	正泰里	B5935CA85	水泥桿		
新北市	板橋區	正泰里	B5935CA65	水泥桿		
新北市	板橋區	正泰里	B5935CA35	水泥桿		
新北市	板橋區	正泰里	B5935CA8179	水泥桿		
新北市	板橋區	正泰里	B5935CA8149	水泥桿		
新北市	板橋區	正泰里	B5935CA52	水泥桿		
新北市	板橋區	正泰里	B5934CE8863	H桿		
新北市	板橋區	正泰里	B5934CE48	水泥桿		
新北市	板橋區	福壽里	B5935DA5341	水泥桿		
新北市	板橋區	居仁里	B5935EA88	水泥桿		
新北市	板橋區	居仁里	B5935FA18	水泥桿		
新北市	板橋區	居仁里	B5935FA28	水泥桿		
新北市	板橋區	福壽里	B5935DA5344	水泥桿		
新北市	板橋區	居仁里	B5935DA5732	水泥桿		
新北市	板橋區	居仁里	B5935DA5735	水泥桿		
新北市	板橋區	居仁里	B5935DA87	水泥桿		
新北市	板橋區	居仁里	B5935EA17	水泥桿		
新北市	板橋區	福壽里	B5935EA1401	水泥桿		
新北市	板橋區	居仁里	B5935EA27	水泥桿		
新北市	板橋區	居仁里	B5935EA47	水泥桿		
新北市	板橋區	居仁里	B5935EA68	水泥桿		
新北市	新店區	百福里	B6626CA97	水泥桿		
新北市	新店區	百福里	B6626CA96	水泥桿		
新北市	新店區	百福里	B6626CA74	水泥桿		
新北市	新店區	百福里	B6626CA62	水泥桿		
新北市	新店區	百福里	B6626CA71	水泥桿		
新北市	新店區	百福里	B6625DE19	水泥桿		
新北市	新店區	百福里	B6625DE47	水泥桿		
新北市	新店區	百福里	B6625DE75	水泥桿		
新北市	新店區	百福里	B6625EE02	水泥桿		
新北市	新店區	百福里	B6626CA50	水泥桿		
新北市	新店區	百福里	B6625CE58	水泥桿		
新北市	新店區	百福里	B6625CE86	水泥桿		
新北市	新店區	百福里	B6625DE14	水泥桿		
新北市	新店區	百福里	B6625DE51	水泥桿		
新北市	新店區	百福里	B6625DD98	水泥桿		
新北市	新店區	百福里	B6625CE48	水泥桿		
新北市	新店區	百福里	B6625CE25	水泥桿		
新北市	新店區	百福里	B6625CE16	水泥桿		
新北市	新店區	百福里	B6625BE97	水泥桿		
新北市	新店區	百福里	B6625CE63	水泥桿		
新北市	新店區	百福里	B6625DE01	水泥桿		
新北市	新店區	百福里	B6625DD48	水泥桿		
新北市	新店區	百福里	B6625DD75	水泥桿		
新北市	新店區	百福里	B6625DD64	水泥桿		
新北市	新店區	中華里	B6625DD91	水泥桿		
新北市	新店區	福民里	B6625CE12	水泥桿		
新北市	新店區	福民里	B6625BE74	水泥桿		
新北市	新店區	中華里	B6625CD49	水泥桿		
新北市	新店區	中華里	B6625CD87	水泥桿		
新北市	新店區	中華里	B6625DD24	水泥桿		
新北市	新店區	中正里	B6625GD45	水泥桿		
新北市	新店區	中正里	B6626HA34	水泥桿		
新北市	新店區	中正里	B6626HA4402	水泥桿		
新北市	新店區	中正里	B6626HA52	水泥桿		
新北市	新店區	中正里	B6626HA71	水泥桿		
新北市	新店區	中正里	B6625GD66	水泥桿		
新北市	新店區	中正里	B6625GE80	水泥桿		
新北市	新店區	中正里	B6625GE91	水泥桿		
新北市	新店區	中正里	B6625HE15	水泥桿		
新北市	新店區	中正里	B6625GE96	水泥桿		
新北市	新店區	中正里	B6625HE07	水泥桿		
新北市	新店區	中正里	B6625HE08	水泥桿		
新北市	新店區	中正里	B6626HA11	水泥桿		
新北市	新店區	中正里	B6626HA33	水泥桿		
新北市	新店區	中正里	B6625HE90	水泥桿		
