縣市	行政區	村里	圖號坐標	型式		
金門縣	金寧鄉	湖埔村	Z9955GE67	水泥桿		
金門縣	金寧鄉	湖埔村	Z9955GE65	水泥桿		
金門縣	金寧鄉	湖埔村	Z9955GE44	水泥桿		
金門縣	金寧鄉	湖埔村	Z9955GE33	水泥桿		
金門縣	金寧鄉	湖埔村	Z9955GE01	水泥桿		
金門縣	金寧鄉	湖埔村	Z9955FE81	水泥桿		
金門縣	金寧鄉	湖埔村	Z9955FE72	水泥桿		
金門縣	金寧鄉	湖埔村	Z9955GE64	水泥桿		
金門縣	金寧鄉	湖埔村	Z9956HE70	水泥桿		
金門縣	金寧鄉	湖埔村	Z9956FD96	水泥桿		
金門縣	金寧鄉	湖埔村	Z9956FE60	水泥桿		
金門縣	金寧鄉	湖埔村	Z9956HE50	水泥桿		
金門縣	金寧鄉	湖埔村	Z9956HD59	水泥桿		
金門縣	金寧鄉	湖埔村	Z9956HE31	水泥桿		
金門縣	金寧鄉	榜林村	Z9956HE12	水泥桿		
金門縣	金寧鄉	榜林村	Z9956HE02	水泥桿		
金門縣	金寧鄉	湖埔村	Z9956GE81	水泥桿		
金門縣	金寧鄉	湖埔村	Z9956GE64	水泥桿		
金門縣	金寧鄉	湖埔村	Z9956GE46	水泥併桿		
金門縣	金寧鄉	榜林村	Z9956GD69	水泥桿		
金門縣	金寧鄉	榜林村	Z9956GD36	水泥桿		
金門縣	金湖鎮	山外里	Z1458FB61	水泥桿		
金門縣	金湖鎮	山外里	Z1458FA29	水泥桿		
金門縣	金湖鎮	山外里	Z1458EA87	水泥桿		
金門縣	金湖鎮	山外里	Z1458EA33	水泥桿		
金門縣	金湖鎮	山外里	Z1457DE89	水泥桿		
金門縣	金湖鎮	山外里	Z1458DA62	水泥桿		
金門縣	金湖鎮	山外里	Z1458DA36	水泥桿		
金門縣	金城鎮	賢庵里	Z9952BB73	水泥桿		
金門縣	烈嶼鄉	上林村	Z9152BD15	水泥桿		
